siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Cailiao	2.07	5.8	121.481028	25.06895	6	
Linkou	2.55	8.1	121.3654898	25.07798949	6	
Tamsui	2.63	7.3	121.449239	25.1645	6	
Shilin	2.17	8.7	121.5166636	25.10334003	6	
Zhongshan	1.82	7.6	121.526528	25.062361	6	
Wanhua	2.85	8.96	121.507972	25.046503	6	
Guting	2.05	5.4	121.529556	25.020608	6	
Songshan	1.73	5.1	121.578611	25.05	6	
Datong	3.31	27.5	121.5134207	25.06331455	6	
Taoyuan	2.49	8.6	121.3050053	24.9947107	6	
Dayuan	2.14	10.5	121.2025147	25.06100357	6	
Guanyin	1.99	5.8	121.0828309	25.03556747	6	
Pingzhen	0.71	3.7	121.203986	24.952786	6	
Longtan	2.32	10.1	121.2164577	24.86400048	6	
Hukou	3.29	11.6	121.0388689	24.90009696	6	
Zhudong	2.5	5.9	121.0889549	24.74091408	6	
Hsinchu	2.32	10.5	120.9723675	24.8056356	6	
Toufen	2.64	6.3	120.8986929	24.69690679	6	
Miaoli	2.27	5.9	120.8201147	24.56499183	6	
Sanyi	2.13	5.7	120.7595675	24.38248443	6	
Fengyuan	2.38	5.4	120.7425241	24.25699731	6	
Shalu	1.77	29.7	120.568794	24.225628	6	
Dali	2.18	6	120.6784444	24.09961111	6	
Zhongming	2.09	5.8	120.641092	24.151958	6	
Xitun	2.5	11.5	120.616917	24.162197	6	
Changhua	1.67	13.6	120.541519	24.066	6	
Xianxi	1.98	8.2	120.469061	24.131672	6	
Erlin	2.92	7	120.409653	23.925175	6	
Nantou	1.98	9.5	120.685306	23.913	6	
Douliu	2.09	17.9	120.544994	23.711853	6	
Lunbei	2.04	5.5	120.348742	23.757547	6	
Xingang	1.99	5.9	120.345531	23.554839	6	
Puzi	1.79	4.6	120.2478	23.46538	6	
Taixi	2.01	18.7	120.1993333	23.702175	6	
Chiayi	2.98	20.1	120.4412515	23.46477865	6	
Xinying	3.12	7.1	120.31725	23.305633	6	
